District,State,Area_km2,Population
Adilabad,Andhra Pradesh,"16,105","27,41,239"
Agra,Uttar Pradesh,"4,041","44,18,797"
Ahmadabad,Gujarat,"8,107","72,14,225"
Ahmadnagar,Maharashtra,"17,048","45,43,159"
Aizawl,Mizoram,"3,576","4,00,309"
Ajmer,Rajasthan,"8,481","25,83,052"
Akola,Maharashtra,"5,676","18,13,906"
Alappuzha,Kerala,"1,415","21,27,789"
Aligarh,Uttar Pradesh,"3,650","36,73,889"
Alirajpur,Madhya Pradesh,"3,182","7,28,999"
Allahabad,Uttar Pradesh,"5,482","59,54,391"
Almora,Uttarakhand,"3,144","6,22,506"
Alwar,Rajasthan,"8,380","36,74,179"
Ambala,Haryana,"1,574","11,28,350"
Ambedkar Nagar,Uttar Pradesh,"2,350","23,97,888"
Amravati,Maharashtra,"12,210","28,88,445"
Amreli,Gujarat,"7,397","15,14,190"
Amritsar,Punjab,"2,683","24,90,656"
Anand,Gujarat,"3,204","20,92,745"
Anantapur,Andhra Pradesh,"19,130","40,81,148"
Anantnag,Jammu and Kashmir,"3,574","10,78,692"
Anjaw,Arunachal Pradesh,"6,190","21,167"
Anugul,Orissa,"6,375","12,73,821"
Anuppur,Madhya Pradesh,"3,747","7,49,237"
Araria,Bihar,"2,830","28,11,569"
Ariyalur,Tamil Nadu,"1,940","7,54,894"
Arwal,Bihar,638,"7,00,843"
Ashoknagar,Madhya Pradesh,"4,674","8,45,071"
Auraiya,Uttar Pradesh,"2,016","13,79,545"
Aurangabad,Maharashtra,"3,305","25,40,073"
Aurangabad,Maharashtra,"10,107","37,01,282"
Azamgarh,Uttar Pradesh,"4,054","46,13,913"
Badgam,Jammu and Kashmir,"1,361","7,53,745"
Bagalkot,Karnataka,"6,552","18,89,752"
Bageshwar,Uttarakhand,"2,241","2,59,898"
Baghpat,Uttar Pradesh,"1,321","13,03,048"
Bahraich,Uttar Pradesh,"5,237","34,87,731"
Baksa,Assam,"2,457","9,50,075"
Balaghat,Madhya Pradesh,"9,229","17,01,698"
Balangir,Orissa,"6,575","16,48,997"
Baleshwar,Orissa,"3,806","23,20,529"
Ballia,Uttar Pradesh,"2,981","32,39,774"
Balrampur,Uttar Pradesh,"3,349","21,48,665"
Banaskantha,Gujarat,"10,743","31,20,506"
Banda,Uttar Pradesh,"4,408","17,99,410"
Bandipora,Jammu and Kashmir,345,"3,92,232"
Bangalore,Karnataka,"2,196","96,21,551"
Bangalore Rural,Karnataka,"2,298","9,90,923"
Banka,Bihar,"3,020","20,34,763"
Bankura,West Bengal,"6,882","35,96,674"
Banswara,Rajasthan,"4,522","17,97,485"
Barabanki,Uttar Pradesh,"4,402","32,60,699"
Baramula,Jammu and Kashmir,"4,243","10,08,039"
Baran,Rajasthan,"6,992","12,22,755"
Barddhaman,West Bengal,"7,024","77,17,563"
Bareilly,Uttar Pradesh,"4,120","44,48,359"
Bargarh,Orissa,"5,837","14,81,255"
Barmer,Rajasthan,"28,387","26,03,751"
Barnala,Punjab,"1,482","5,95,527"
Barpeta,Assam,"2,282","16,93,622"
Barwani,Madhya Pradesh,"5,427","13,85,881"
Bastar,Chhattisgarh,"10,470","14,13,199"
Basti,Uttar Pradesh,"2,688","24,64,464"
Bathinda,Punjab,"3,353","13,88,525"
Baudh,Orissa,"3,098","4,41,162"
Begusarai,Bihar,"1,918","29,70,541"
Belgaum,Karnataka,"13,433","47,79,661"
Bellary,Karnataka,"8,461","24,52,595"
Betul,Madhya Pradesh,"10,043","15,75,362"
Bhadrak,Orissa,"2,505","15,06,337"
Bhagalpur,Bihar,"2,569","30,37,766"
Bhandara,Maharashtra,"4,087","12,00,334"
Bharatpur,Rajasthan,"5,066","25,48,462"
Bharuch,Gujarat,"6,509","15,51,019"
Bhavnagar,Gujarat,"10,034","28,80,365"
Bhilwara,Rajasthan,"10,455","24,08,523"
Bhind,Madhya Pradesh,"4,459","17,03,005"
Bhiwani,Haryana,"4,778","16,34,445"
Bhojpur,Bihar,"2,395","27,28,407"
Bhopal,Madhya Pradesh,"2,772","23,71,061"
Bid,Maharashtra,"10,693","25,85,049"
Bidar,Karnataka,"5,448","17,03,300"
Bijapur,Karnataka,"8,530","2,55,230"
Bijapur,Karnataka,"10,498","21,77,331"
Bijnor,Uttar Pradesh,"4,561","36,82,713"
Bikaner,Rajasthan,"30,239","23,63,937"
Bilaspur,Chhattisgarh,"1,167","3,81,956"
Bilaspur,Chhattisgarh,"8,272","26,63,629"
Birbhum,West Bengal,"4,545","35,02,404"
Bishnupur,Manipur,496,"2,37,399"
Bokaro,Jharkhand,"2,883","20,62,330"
Bongaigaon,Assam,"1,093","7,38,804"
Budaun,Uttar Pradesh,"5,168","36,81,896"
Bulandshahar,Uttar Pradesh,"4,512","34,99,171"
Buldana,Maharashtra,"9,661","25,86,258"
Bundi,Rajasthan,"5,776","11,10,906"
Burhanpur,Madhya Pradesh,"3,427","7,57,847"
Buxar,Bihar,"1,703","17,06,352"
Cachar,Assam,"3,786","17,36,617"
Central,#N/A,21,"5,82,320"
Chamarajanagar,Karnataka,"5,648","10,20,791"
Chamba,Himachal Pradesh,"6,522","5,19,080"
Chamoli,Uttarakhand,"8,030","3,91,605"
Champawat,Uttarakhand,"1,766","2,59,648"
Champhai,Mizoram,"3,185","1,25,745"
Chandauli,Uttar Pradesh,"2,541","19,52,756"
Chandel,Manipur,"3,313","1,44,182"
Chandigarh,Chandigarh,114,"10,55,450"
Chandrapur,Maharashtra,"11,443","22,04,307"
Changlang,Arunachal Pradesh,"4,662","1,48,226"
Chatra,Jharkhand,"3,718","10,42,886"
Chennai,Tamil Nadu,175,"46,46,732"
Chhatarpur,#N/A,"8,687","17,62,375"
Chhindwara,Madhya Pradesh,"11,815","20,90,922"
Chikkaballapura,Karnataka,"4,244","12,55,104"
Chikmagalur,Karnataka,"7,202","11,37,961"
Chirang,Assam,"1,923","4,82,162"
Chitradurga,Karnataka,"8,436","16,59,456"
Chitrakoot,Uttar Pradesh,"3,216","9,91,730"
Chittaurgarh,Rajasthan,"7,822","15,44,338"
Chittoor,Andhra Pradesh,"15,152","41,74,064"
Churachandpur,Manipur,"4,570","2,74,143"
Churu,Rajasthan,"13,835","20,39,547"
Coimbatore,Tamil Nadu,"4,732","34,58,045"
Cuddalore,Tamil Nadu,"3,703","26,05,914"
Cuttack,Orissa,"3,932","26,24,470"
Dadra & Nagar Haveli,#N/A,491,"3,43,709"
Dahod,#N/A,"3,642","21,27,086"
Dakshin Bastar Dantewada,#N/A,"8,298","5,33,638"
Dakshin Dinajpur,West Bengal,"2,219","16,76,276"
Dakshina Kannada,Karnataka,"4,861","20,89,649"
Daman,Daman and Diu,72,"1,91,173"
Damoh,Madhya Pradesh,"7,306","12,64,219"
Darbhanga,Bihar,"2,279","39,37,385"
Darjiling,West Bengal,"3,149","18,46,823"
Darrang,Assam,"1,585","9,28,500"
Datia,Madhya Pradesh,"2,902","7,86,754"
Dausa,Rajasthan,"3,432","16,34,409"
Davanagere,Karnataka,"5,924","19,45,497"
Debagarh,Orissa,"2,940","3,12,520"
Dehradun,Uttarakhand,"3,088","16,96,694"
Deoghar,Jharkhand,"2,477","14,92,073"
Deoria,Uttar Pradesh,"2,540","31,00,946"
Dewas,Madhya Pradesh,"7,020","15,63,715"
Dhalai,Tripura,"2,400","3,78,230"
Dhamtari,Chhattisgarh,"4,084","7,99,781"
Dhanbad,Jharkhand,"2,040","26,84,487"
Dhar,Madhya Pradesh,"8,153","21,85,793"
Dharmapuri,Tamil Nadu,"4,497","15,06,843"
Dharwad,Karnataka,"4,260","18,47,023"
Dhaulpur,Rajasthan,"3,033","12,06,516"
Dhemaji,Assam,"3,237","6,86,133"
Dhenkanal,Orissa,"4,452","11,92,811"
Dhubri,Assam,"2,176","19,49,258"
Dhule,Maharashtra,"7,195","20,50,862"
Dibang Valley,Arunachal Pradesh,"9,129","8,004"
Dibrugarh,Assam,"3,381","13,26,335"
Dima Hasao,Assam,"4,888","2,14,102"
